sink_function
java.io.InputStream.<init>
java.io.File.<init>
java.io.BufferedReader.<init>
java.nio.file.Paths.get
java.nio.file.Files.createDirectories
java.nio.file.Files.createDirectory
java.nio.file.Files.createFile
java.nio.file.Files.createLink
java.nio.file.Files.createSymbolicLink
java.nio.file.Files.createTempDirectory
java.nio.file.Files.createTempFile
java.nio.file.Files.delete
java.nio.file.Files.deleteIfExists
java.nio.file.Files.find
java.nio.file.Files.move
java.nio.file.Files.write
java.io.File.createNewFile
java.io.File.createTempFile
java.io.File.delete
java.io.File.deleteOnExit
java.io.File.delete
java.io.File.renameTo
org.apache.commons.io.FileUtils.cleanDirectory
org.apache.commons.io.FileUtils.copyDirectory
org.apache.commons.io.FileUtils.copyFile
org.apache.commons.io.FileUtils.copyFileToDirectory
org.apache.commons.io.FileUtils.copyInputStreamToFile
org.apache.commons.io.FileUtils.copyToDirectory
org.apache.commons.io.FileUtils.copyToFile
org.apache.commons.io.FileUtils.copyURLToFile
org.apache.commons.io.FileUtils.createParentDirectories
org.apache.commons.io.FileUtils.delete
org.apache.commons.io.FileUtils.deleteDirectory
org.apache.commons.io.FileUtils.deleteQuitely
org.apache.commons.io.FileUtils.forceDelete
org.apache.commons.io.FileUtils.forceDeleteOnExit
org.apache.commons.io.FileUtils.forceMkdir
org.apache.commons.io.FileUtils.forceMkdirParent
org.apache.commons.io.FileUtils.moveDirectory
org.apache.commons.io.FileUtils.moveDirectoryToDirectory
org.apache.commons.io.FileUtils.moveFile
org.apache.commons.io.FileUtils.moveFileToDirectory
org.apache.commons.io.FileUtils.moveToDirectory
org.apache.commons.io.FileUtils.newOutputStream
org.apache.commons.io.FileUtils.openOutputStream
org.apache.commons.io.FileUtils.write
org.apache.commons.io.FileUtils.writeByteArrayToFile
org.apache.commons.io.FileUtils.writeLines
org.apache.commons.io.FileUtils.writeStringToFile
org.apache.commons.io.file.PathUtils.cleanDirectory
org.apache.commons.io.file.PathUtils.copyDirectory
org.apache.commons.io.file.PathUtils.copyFile
org.apache.commons.io.file.PathUtils.copyFileToDirectory
org.apache.commons.io.file.PathUtils.delete
org.apache.commons.io.file.PathUtils.deleteDirectory
org.apache.commons.io.file.PathUtils.deleteFile
