sink_function
java.lang.Runtime.exec
javax.xml.xpath.XPath.compile
javax.xml.xpath.XPath.evaluate
java.util.concurrent.Executor.execute
java.util.concurrent.Callable.call
java.lang.System.console
java.lang.System.load
java.lang.System.loadLibrary
java.lang.System.mapLibraryName
java.lang.System.runFinalization
java.lang.System.exec
java.lang.ProcessBuilder.directory
java.lang.ProcessBuilder.inheritIO
java.lang.ProcessBuilder.command
java.lang.ProcessBuilder.redirectError
java.lang.ProcessBuilder.redirectErrorStream
java.lang.ProcessBuilder.redirectInput
java.lang.ProcessBuilder.redirectOutput
java.lang.ProcessBuilder.start
