sink_function
fread
fgetc
getc
fgets
getchar
gets
gets_s
get
fget
fgetwc
getwc
fgetws
getwchar
scanf
fscanf
sscanf
scanf_s
fscanf_s
sscanf_s
vscanf
vfscanf
vsscanf
vscanf_s
vfscanf_s
vsscanf_s
wscanf
fwscanf
swscanf
wscanf_s
fwscanf_s
swscanf_s
vwscanf
vfwscanf
vswscanf
vwscanf_s
vfwscanf_s
vswscanf_s
