sink_function
malloc
alligned_alloc
xmalloc
calloc
realloc
strcpy
strcpy_s
strncpy
strncpy_s
strcat
strcat_s
strncat
strncat_s
strxfrm
strdup
strndup
memchr
memset
memset_explicit
memset_s
memcpy
memcpy_s
memmove
memmove_s
memccpy
putc
fputc
putchar
puts
put
fwrite
ungetc
fputwc
putwc
fputws
putwchar
ungetwc
